timestamp,suhu,kelembaban,tekanan
1598491800,27.6,73.9,1009.4
1598490000,26.2,77.6,1009.5
1598488200,24.7,81.4,1009.7
1598486400,23.4,86.1,1009.5
1598484600,22.4,90.3,1009.4
1598482800,22.2,95.3,1009
1598481000,22.2,98.2,1008.7
1598479200,22.2,98.4,1008.4
1598477400,22.1,98.6,1008.2
1598475600,22.5,98.6,1008
1598473800,22.6,98.8,1007.8
1598472000,22.7,97.9,1007.8
1598470200,22.7,98.2,1007.8
1598468400,22.7,98.1,1008
1598466600,23,98.4,1008.1
1598464800,23.4,98.4,1007.9
1598463000,23.7,97.1,1008
